StoreID,StoreLocation,Revenue,Profit,AvgMargin,StockOutRate,ReturnRate,Store_Risk
1,Rural,2062584.04,569516.4675347041,0.32300439204338843,0.020202020202020204,0.07254361799816346,Moderate Risk
1,Suburban,2249853.93,614472.8516258346,0.31867396824368865,0.01718213058419244,0.08333333333333333,Moderate Risk
1,Urban,2158411.58,605626.1277321513,0.327032736246348,0.01984469370146678,0.07765314926660914,Moderate Risk
2,Rural,2208787.13,610800.5757357748,0.32699516029760545,0.020942408376963352,0.08115183246073299,Moderate Risk
2,Suburban,2304586.53,640469.5112953498,0.3230678454319616,0.02549342105263158,0.09375,High Risk
2,Urban,2097889.7,588120.6338306555,0.32795996048061127,0.02171945701357466,0.0751131221719457,Moderate Risk
3,Rural,2218180.72,621645.2579496282,0.3266582100759076,0.024888888888888887,0.06844444444444445,Reliable
3,Suburban,2107118.01,595988.5242064195,0.3318161725036854,0.03439153439153439,0.07671957671957672,Moderate Risk
3,Urban,2207514.42,619201.0752723616,0.3272889176285022,0.02158894645941278,0.08635578583765112,Moderate Risk
4,Rural,2116893.2,581455.0091600104,0.3254625153308806,0.020104895104895104,0.06993006993006994,Reliable
4,Suburban,2023415.48,543261.7242491773,0.3198608808021043,0.028864059590316574,0.08472998137802606,Moderate Risk
4,Urban,2052285.88,572141.8539294247,0.32533188740746816,0.024051803885291396,0.08140610545790934,Moderate Risk
5,Rural,2105939.84,583934.830571595,0.3282692282281873,0.019590382902938557,0.08459483526268922,Moderate Risk
5,Suburban,2101539.96,584654.2044989106,0.3275184228698188,0.020554066130473638,0.07506702412868632,Moderate Risk
5,Urban,2148243.58,591191.5960009628,0.32008866552611953,0.017316017316017316,0.07792207792207792,Moderate Risk
6,Rural,2204365.91,604524.1524834615,0.32346047663792765,0.027050610820244327,0.07155322862129145,Moderate Risk
6,Suburban,2144660.78,591658.5710775969,0.3216718542876718,0.02605570530098832,0.08355795148247978,Moderate Risk
6,Urban,2043508.06,572504.5472892256,0.32451176101640555,0.02483900643974241,0.08647654093836246,Moderate Risk
7,Rural,2174219.61,600373.7413117032,0.3233581816601484,0.02247191011235955,0.07865168539325842,Moderate Risk
7,Suburban,2042892.57,570399.1450455955,0.325206311645308,0.022242817423540315,0.08619091751621873,Moderate Risk
7,Urban,2101996.68,593338.5597979696,0.3283457353812326,0.02666666666666667,0.08088888888888889,Moderate Risk
8,Rural,2118860.18,572676.6689404355,0.32264920208773284,0.03278688524590164,0.06466302367941712,Moderate Risk
8,Suburban,2218647.74,604954.5439704998,0.32462718111885325,0.026747195858498704,0.07420189818809318,Moderate Risk
8,Urban,2168325.86,592498.1955097436,0.3220557499986976,0.031578947368421054,0.07719298245614035,Moderate Risk
9,Rural,2220262.02,615998.2607329838,0.32396347535097775,0.02702702702702703,0.08108108108108109,Moderate Risk
9,Suburban,2228470.45,615660.9942353981,0.32076480282462577,0.02378854625550661,0.08105726872246696,Moderate Risk
9,Urban,2074828.75,589851.6672922996,0.3297966421775951,0.022893772893772892,0.06776556776556776,Reliable
10,Rural,2126054.7,594154.1876235912,0.3305952311108504,0.03357531760435572,0.08439201451905626,Moderate Risk
10,Suburban,2128117.34,593500.6893243347,0.32384487847736865,0.027927927927927927,0.08288288288288288,Moderate Risk
10,Urban,2195912.7,609729.1025941396,0.3237889715412194,0.03262786596119929,0.07848324514991181,Moderate Risk
11,Rural,2081732.14,571191.0928616201,0.3225752791614102,0.03178928247048138,0.08174386920980926,Moderate Risk
11,Suburban,2152198.44,596625.7072002753,0.3259212395085337,0.024475524475524476,0.08129370629370629,Moderate Risk
11,Urban,2213047.81,617197.9565012605,0.32544455964998864,0.034013605442176874,0.08163265306122448,Moderate Risk
12,Rural,2162077.24,586031.270717162,0.32563721102019627,0.025460930640913083,0.07726075504828797,Moderate Risk
12,Suburban,2106174.38,586845.8796558838,0.3283368744844648,0.03081232492997199,0.07749766573295985,Moderate Risk
12,Urban,2147243.61,594559.0228793215,0.32525578464029403,0.026041666666666668,0.08072916666666667,Moderate Risk
13,Rural,2196180.46,595538.9027782506,0.3194877433677306,0.02118270079435128,0.0706090026478376,Moderate Risk
13,Suburban,2120031.34,573942.4565251609,0.32236917752491706,0.02775290957923008,0.07430617726051925,Moderate Risk
13,Urban,2078204.86,571987.6107352778,0.32723589002451525,0.024702653247941447,0.0777676120768527,Moderate Risk
14,Rural,2093935.49,585756.2844707968,0.3292305282548267,0.020036429872495445,0.07741347905282331,Moderate Risk
14,Suburban,2037190.3,559756.9628208216,0.32273554697193824,0.025547445255474453,0.0812043795620438,Moderate Risk
14,Urban,2107475.73,581922.9443062472,0.3238864510904798,0.021570319240724764,0.07592752372735116,Moderate Risk
15,Rural,2163482.48,604007.3989461034,0.32687121901946803,0.021164021164021163,0.09082892416225749,High Risk
15,Suburban,2056080.93,567766.5057316176,0.32444904976513217,0.027198549410698096,0.07887579329102448,Moderate Risk
15,Urban,2242825.12,615986.1193724858,0.324191261489947,0.02181208053691275,0.08053691275167785,Moderate Risk
16,Rural,2182673.94,607581.5477831099,0.32581734387257183,0.020425531914893616,0.07829787234042553,Moderate Risk
16,Suburban,2096558.45,573390.007463181,0.3186681919892931,0.019197207678883072,0.07504363001745201,Moderate Risk
16,Urban,2231029.69,615278.0132831602,0.3264834546546435,0.023215821152192607,0.07480653482373173,Moderate Risk
17,Rural,2151416.64,588158.3019337263,0.32186123483333945,0.021660649819494584,0.08754512635379061,Moderate Risk
17,Suburban,2214201.43,612941.1206574761,0.3263223084867832,0.01630901287553648,0.08240343347639485,Moderate Risk
17,Urban,2177995.62,598807.3914449947,0.3245502734979404,0.027705627705627706,0.08484848484848485,Moderate Risk
18,Rural,2070332.5,577517.5185592703,0.32569873927691195,0.015971606033717833,0.06832298136645963,Reliable
18,Suburban,1986324.04,554780.3257828715,0.3240640050832792,0.03033175355450237,0.09194312796208531,High Risk
18,Urban,2250976.79,627182.559085383,0.3292138899313557,0.030560271646859084,0.08149405772495756,Moderate Risk
19,Rural,2389184.16,662376.3458549232,0.3246175418480043,0.019118869492934332,0.08645054031587697,Moderate Risk
19,Suburban,2115476.81,592467.7052159283,0.3270239736998237,0.031194295900178252,0.08199643493761141,Moderate Risk
19,Urban,2120596.48,580859.8827130547,0.32302663975622486,0.024,0.08088888888888889,Moderate Risk
20,Rural,2229427.6,610792.4611788994,0.32243517027340113,0.026473099914602904,0.09735269000853972,High Risk
20,Suburban,2051835.9,572582.4544376303,0.32467837378568193,0.02552415679124886,0.0820419325432999,Moderate Risk
20,Urban,2069763.01,576389.7267661409,0.32660692844174943,0.026752767527675275,0.08948339483394833,Moderate Risk
21,Rural,2233180.63,617741.5256098626,0.3258100186334532,0.02586206896551724,0.07586206896551724,Moderate Risk
21,Suburban,2098836.23,576720.3438592739,0.3224625003788638,0.02085222121486854,0.07887579329102448,Moderate Risk
21,Urban,2114652.56,583760.9926965508,0.32279538855140283,0.024478694469628286,0.06708975521305531,Reliable
22,Rural,2161542.95,596055.701741358,0.3272470342724357,0.020942408376963352,0.07678883071553229,Moderate Risk
22,Suburban,2279336.15,634868.3208447978,0.33061621346067027,0.02871205906480722,0.081214109926169,Moderate Risk
22,Urban,2072208.65,565574.2183259635,0.3238729245757378,0.027472527472527472,0.08516483516483517,Moderate Risk
23,Rural,2097899.73,582537.3712869493,0.32408305466414383,0.02717391304347826,0.08695652173913043,Moderate Risk
23,Suburban,2081775.04,562646.90240816,0.3246243332735932,0.020087336244541485,0.0794759825327511,Moderate Risk
23,Urban,2184409.26,608197.3855527857,0.32723840861974185,0.022667829119442023,0.06887532693984307,Reliable
24,Rural,2061361.07,562746.3158827322,0.3220181714509392,0.02334267040149393,0.09710550887021475,High Risk
24,Suburban,2104716.93,580097.3603311473,0.3272879666532189,0.025732031943212066,0.07897071872227152,Moderate Risk
24,Urban,1975585.96,545408.9495693941,0.3264548008680195,0.02682701202590194,0.08233117483811286,Moderate Risk
25,Rural,2167083.47,613988.7107378704,0.3301888539282975,0.025173611111111112,0.07899305555555555,Moderate Risk
25,Suburban,2187578.16,622648.5424397078,0.3294595115567458,0.01918047079337402,0.08282476024411509,Moderate Risk
25,Urban,2144891.64,588038.3514525831,0.3284798006839062,0.023336214347450302,0.07519446845289542,Moderate Risk
26,Rural,2143571.36,598535.7759640935,0.32809754044396283,0.02304964539007092,0.0851063829787234,Moderate Risk
26,Suburban,1956399.11,543355.3568292427,0.3235949305105294,0.02583732057416268,0.08038277511961722,Moderate Risk
26,Urban,2197338.08,607676.5115138146,0.32425317126695374,0.02780269058295964,0.07174887892376682,Moderate Risk
27,Rural,2304579.71,631909.3454819011,0.3252530295642817,0.02247191011235955,0.07865168539325842,Moderate Risk
27,Suburban,2110606.24,579709.8753653531,0.3200692681973096,0.02323503127792672,0.0840035746201966,Moderate Risk
27,Urban,2040270.97,557785.874609335,0.32324927389000724,0.022461814914645103,0.07996406109613657,Moderate Risk
28,Rural,2185247.31,614473.0461444047,0.3280252496194393,0.03214596003475239,0.08774978279756733,Moderate Risk
28,Suburban,2209103.39,611848.3371918693,0.3243446420300302,0.024128686327077747,0.08221626452189455,Moderate Risk
28,Urban,2139635.36,586192.9867292086,0.320549166213883,0.019590382902938557,0.07658058771148708,Moderate Risk
29,Rural,2058363.59,574277.8810631471,0.32757744459388377,0.021081576535288724,0.08524289642529789,Moderate Risk
29,Suburban,2069993.51,571877.697851031,0.3257459474712048,0.023893805309734513,0.084070796460177,Moderate Risk
29,Urban,2210362.53,610004.7360338846,0.3245109910884898,0.03454231433506045,0.06994818652849741,Moderate Risk
30,Rural,1962046.24,539398.8985356214,0.3234211073208195,0.025594149908592323,0.08135283363802559,Moderate Risk
30,Suburban,2142863.64,588548.2092533581,0.3288100920702082,0.020554066130473638,0.0777479892761394,Moderate Risk
30,Urban,2166164.33,601080.8571717736,0.32615430133446266,0.017825311942959002,0.08645276292335116,Moderate Risk
31,Rural,2078122.19,582191.7676497652,0.32844823192929534,0.02899824253075571,0.061511423550087874,Reliable
31,Suburban,2069853.09,585403.6850881904,0.3275788481715272,0.025362318840579712,0.07971014492753623,Moderate Risk
31,Urban,2042391.56,559402.899731213,0.32024395649076365,0.029767441860465118,0.09209302325581395,High Risk
32,Rural,2221769.6,615577.8697724205,0.3236891863607837,0.02216538789428815,0.08525149190110827,Moderate Risk
32,Suburban,2173386.54,597842.392502382,0.3228028068112883,0.022998296422487224,0.09454855195911414,High Risk
32,Urban,2061904.71,577806.3690746448,0.327783187556604,0.025570776255707764,0.08584474885844749,Moderate Risk
33,Rural,2303568.81,645805.3846085111,0.32738264318368193,0.015544041450777202,0.07167530224525043,Moderate Risk
33,Suburban,1985871.97,541697.5193227463,0.32061268984759844,0.02645985401459854,0.06569343065693431,Reliable
33,Urban,1980139.53,564934.1630773116,0.3301952701267481,0.020522388059701493,0.0708955223880597,Moderate Risk
34,Rural,2191401.57,623042.4272710636,0.3299823688402042,0.027303754266211604,0.08703071672354949,Moderate Risk
34,Suburban,2144610.19,594359.4387697146,0.32698850208804486,0.023017902813299233,0.08098891730605286,Moderate Risk
34,Urban,2152131.81,602826.2389695077,0.33374912343045743,0.021062271062271064,0.07692307692307693,Moderate Risk
35,Rural,2299038.26,642291.9985228268,0.3245521413539986,0.02568351284175642,0.07705053852526926,Moderate Risk
35,Suburban,2026368.51,551005.1368487679,0.31899297762975615,0.021455223880597014,0.08022388059701492,Moderate Risk
35,Urban,2141280.09,576098.8545555614,0.3194208432978007,0.024368231046931407,0.08212996389891697,Moderate Risk
36,Rural,2232903.68,614766.9066236869,0.32600890119710596,0.029285099052540915,0.07838070628768304,Moderate Risk
36,Suburban,2074107.23,583645.8914490386,0.32693060591212564,0.017699115044247787,0.08584070796460178,Moderate Risk
36,Urban,2122611.36,584458.4664455244,0.32535640678319716,0.01921397379912664,0.08034934497816594,Moderate Risk
37,Rural,2365325.12,655176.1119461489,0.32478420014194215,0.023333333333333334,0.08833333333333333,Moderate Risk
37,Suburban,2022462.54,562701.2527456173,0.32641223281886267,0.033363390441839495,0.09467989179440937,High Risk
37,Urban,2173467.67,600493.5918657703,0.3253224644606853,0.022336769759450172,0.0661512027491409,Reliable
38,Rural,2173071.83,598745.3355529527,0.3250744408087985,0.016964285714285713,0.07232142857142858,Moderate Risk
38,Suburban,2140559.44,584240.2750247556,0.32173607426603473,0.029049295774647887,0.07922535211267606,Moderate Risk
38,Urban,2195643.64,617118.5404250892,0.3279942844192816,0.016710642040457344,0.08970976253298153,Moderate Risk
39,Rural,2124166.57,589075.5299538695,0.3251027191556285,0.025134649910233394,0.06912028725314183,Reliable
39,Suburban,2173089.76,598548.6677688247,0.32489424670072087,0.03017241379310345,0.08275862068965517,Moderate Risk
39,Urban,2134538.37,600633.7018301951,0.3290261429771609,0.028846153846153848,0.05944055944055944,Reliable
40,Rural,2066530.22,570374.6562152599,0.32526417831402327,0.019681349578256794,0.08622305529522024,Moderate Risk
40,Suburban,2181461.22,601343.1277764486,0.324375555223303,0.02893617021276596,0.08340425531914894,Moderate Risk
40,Urban,2117736.72,594222.3609758592,0.3256292348623768,0.025,0.08793103448275862,Moderate Risk
41,Rural,2182355.94,607438.2273255163,0.3218515414925024,0.02432667245873154,0.07732406602953953,Moderate Risk
41,Suburban,2187141.05,610824.6654132652,0.32800900505922853,0.037165082108902334,0.08643042350907519,Moderate Risk
41,Urban,2131147.68,594250.5593551818,0.3299681327049043,0.02183803457688808,0.08462238398544131,Moderate Risk
42,Rural,2132923.92,591157.4472824376,0.3217317019584686,0.027472527472527472,0.07326007326007326,Moderate Risk
42,Suburban,2208965.59,617997.4925876327,0.32502817113118987,0.026541095890410957,0.07962328767123288,Moderate Risk
42,Urban,2110377.56,581549.9705213828,0.33046459503719455,0.025573192239858905,0.07760141093474426,Moderate Risk
43,Rural,2219976.68,619567.500719713,0.3243988775847462,0.02780191138140747,0.07298001737619461,Moderate Risk
43,Suburban,2011742.75,552880.8965141805,0.32616721001282384,0.03125,0.07352941176470588,Moderate Risk
43,Urban,2096115.51,592302.0927196144,0.3250206010658903,0.03193430656934307,0.05656934306569343,Moderate Risk
44,Rural,2133563.94,587186.3115593081,0.32305635991438025,0.023529411764705882,0.0760180995475113,Moderate Risk
44,Suburban,2057271.41,568129.2649392791,0.3234419361614542,0.022281639928698752,0.06060606060606061,Reliable
44,Urban,2201535.06,607252.4038196867,0.3255974021204728,0.02288135593220339,0.07203389830508475,Moderate Risk
45,Rural,2256952.85,627273.013749792,0.32808393890109533,0.0211864406779661,0.0847457627118644,Moderate Risk
45,Suburban,2083277.07,576920.5907573311,0.32560651523059436,0.03345388788426763,0.08227848101265822,Moderate Risk
45,Urban,2164291.8,586847.5059157927,0.3196501270251118,0.022375215146299483,0.08605851979345955,Moderate Risk
46,Rural,2173737.37,597820.6994387278,0.3246538369514136,0.022222222222222223,0.0791111111111111,Moderate Risk
46,Suburban,2114404.56,592431.7512298268,0.32596334187629145,0.019090909090909092,0.07545454545454545,Moderate Risk
46,Urban,2072425.18,550912.1191404287,0.31853962694879445,0.026929982046678635,0.07809694793536805,Moderate Risk
47,Rural,2168867.83,608652.2918899144,0.32772972969935676,0.02112676056338028,0.08362676056338028,Moderate Risk
47,Suburban,2181221.35,615631.4187722699,0.3306271181033391,0.01456726649528706,0.08140531276778064,Moderate Risk
47,Urban,2228834.05,607472.6565458914,0.3231680415373611,0.01680672268907563,0.09159663865546218,High Risk
48,Rural,2216280,607763.4588584753,0.32581139501898104,0.025619128949615714,0.08454312553373185,Moderate Risk
