ProductName,Category,SubCategory,Revenue,NetRevenue,Profit,UnitsSold,ReturnRate,AvgMargin
Product_192,Food,B,169353.06,145386.3841,49892.90433694906,571,0.057971014492753624,0.3344825771594982
Product_185,Food,D,166432.06,140161.29,45475.70437985631,577,0.029850746268656716,0.32092440215629253
Product_124,Beauty,C,165022.48,139292.8103,42335.33441996159,528,0.1044776119402985,0.30137566473430594
Product_71,Clothing,B,164138.29,142413.5855,48193.23028577142,603,0.0410958904109589,0.3362500808022024
Product_181,Electronics,C,162247.19,139632.9045,45873.18972843818,575,0.04411764705882353,0.3335243081840441
Product_71,Home,B,161842.21,138769.9995,47782.60633472031,602,0.07246376811594203,0.3401371215913192
Product_112,Clothing,B,158251.15,133317.6344,42334.55046400992,542,0.045454545454545456,0.31518185302543184
Product_186,Home,D,158152.91999999998,137557.7109,44073.32959515539,558,0.015384615384615385,0.3039608573211072
Product_157,Clothing,A,154304.58,132652.4196,42785.13344957664,538,0.05,0.3045693175796664
Product_143,Beauty,B,151270.13999999998,128863.465,38551.186255537745,555,0.0958904109589041,0.3072628166174689
Product_77,Food,B,149755.62,128834.1467,43281.247463892054,569,0.06666666666666667,0.35024152723154284
Product_92,Food,B,149516.84,128725.3245,47189.05797335353,464,0.04918032786885246,0.3629996060966857
Product_193,Electronics,C,148400.31,127500.09019999999,41290.27133363957,604,0.09333333333333334,0.3107111257293075
Product_144,Electronics,D,148361.58,127064.9032,39812.54405399943,539,0.07692307692307693,0.3285699176206426
Product_164,Food,B,148054.37,125273.0021,41088.377750050284,561,0.0821917808219178,0.3400390371466341
Product_129,Electronics,A,148043.23,130557.5284,40952.2660200303,566,0.0958904109589041,0.3184293034680945
Product_7,Beauty,A,146388.64,124686.0148,39744.57548833236,500,0.1746031746031746,0.3146065007678778
Product_167,Electronics,C,146351.41,126530.9128,39326.31862164879,520,0.06060606060606061,0.3125738926047458
