column,dtype,unique_values
business_id,str,5200
snapshot_date,str,30
observation_seq,int64,1
province,str,9
industry_sector,str,12
legal_entity_type,str,5
business_age_years,float64,188
num_directors,int64,3
monthly_revenue,float64,5200
monthly_expenses,float64,5200
annual_revenue,float64,4689
total_assets,float64,4409
total_liabilities,float64,4349
total_equity,float64,4374
free_cash_flow,float64,5200
fixed_monthly_debits,float64,5198
total_credits_90d,float64,5200
total_credits_180d,float64,5200
total_credits_365d,float64,5200
avg_daily_credits_90d,float64,5177
avg_weekly_credits_90d,float64,5192
credit_volatility_90d,float64,520
cash_flow_trend_90d,float64,1932
avg_balance_90d,float64,5113
min_balance_90d,float64,5195
negative_balance_days_90d,int64,17
negative_balance_frequency_90d,float64,17
debt_service_coverage_ratio,float64,2206
num_bounced_payments_90d,int64,15
num_reversed_transactions_90d,int64,8
num_debit_orders_90d,int64,23
num_eft_payments_90d,int64,115
num_fees_90d,int64,14
total_fees_90d,float64,4351
bureau_snapshot_date,str,15
credit_score_business,float64,437
credit_utilization_business,float64,986
existing_debt_exposure,float64,4597
num_credit_facilities,int64,8
arrears_days_bureau,float64,134
judgments_count,int64,6
default_flag_bureau_history,int64,2
director_credit_score,float64,443
director_credit_utilization,float64,976
director_judgments_count,int64,5
outcome_observable,bool,1
outcome_window_end,str,30
default_event_12m,float64,0
default_type,float64,0
default_date,float64,0
model_split,str,1
