feature,dtype,missing_count,missing_pct,unique_values
fe_unpaid_transaction_count,float64,201765,97.40889867330978,14
fe_bounced_transaction_count,float64,201765,97.40889867330978,10
fe_paid_transaction_count,float64,201765,97.40889867330978,93
fe_transaction_type_bank fee_count,float64,201765,97.40889867330978,15
fe_transaction_type_card purchase_count,float64,201765,97.40889867330978,28
fe_transaction_type_cash deposit_count,float64,201765,97.40889867330978,19
fe_transaction_type_credit - sales/eft in_count,float64,201765,97.40889867330978,42
fe_transaction_type_debit order_count,float64,201765,97.40889867330978,30
fe_transaction_type_eft payment_count,float64,201765,97.40889867330978,30
fe_transaction_type_interest charge_count,float64,201765,97.40889867330978,12
fe_reversed_transaction_rate,float64,201765,97.40889867330978,184
fe_bounced_transaction_rate,float64,201765,97.40889867330978,179
fe_unpaid_transaction_rate,float64,201765,97.40889867330978,203
fe_transaction_type_loan repayment_count,float64,201765,97.40889867330978,12
fe_transaction_amount_std,float64,201765,97.40889867330978,300
fe_transaction_balance_mean,float64,201765,97.40889867330978,300
fe_transaction_balance_min,float64,201765,97.40889867330978,300
fe_transaction_count,float64,201765,97.40889867330978,99
fe_transaction_amount_mean,float64,201765,97.40889867330978,300
fe_transaction_amount_total,float64,201765,97.40889867330978,300
fe_equity_to_assets,float64,68451,33.04704246567407,138671
fe_debt_to_equity,float64,68337,32.99200509819825,138786
fe_debt_to_assets,float64,68000,32.82930691539694,139124
fe_business_vs_director_utilization,float64,67519,32.597087847363035,6784
fe_liabilities_to_annual_revenue,float64,57685,27.849390726686362,149447
fe_bureau_debt_to_revenue,float64,52075,25.140972906166116,155057
fe_debt_exposure_to_revenue,float64,52075,25.140972906166116,155057
fe_director_credit_utilization,float64,51837,25.026070331962224,1295
fe_director_credit_score,float64,45708,22.067087654249466,550
fe_business_credit_utilization,float64,20750,10.017766448448333,1297
fe_business_credit_score,float64,16453,7.943243921750382,544
fe_business_arrears_days,float64,12271,5.9242415464534695,249
fe_cash_flow_trend,float64,10235,4.941293474692467,3412
fe_business_age,float64,6377,3.0787130911689164,235
fe_bounced_payment_count,int64,0,0.0,17
fe_reversed_transaction_count,int64,0,0.0,11
fe_operating_margin,float64,0,0.0,207119
fe_debit_order_count,int64,0,0.0,23
fe_fees_to_credits,float64,0,0.0,190081
fe_distress_to_debit_orders,float64,0,0.0,261
fe_operational_distress_events,int64,0,0.0,23
fe_negative_balance_days,int64,0,0.0,24
fe_free_cash_after_fixed_debits,float64,0,0.0,205051
fe_free_cash_margin,float64,0,0.0,207118
fe_fixed_debit_burden,float64,0,0.0,207132
fe_fixed_debits_to_credits,float64,0,0.0,207132
fe_credit_growth_180_vs_365,float64,0,0.0,207132
fe_credit_growth_90_vs_180,float64,0,0.0,207132
fe_weekly_credits_to_fixed_debits,float64,0,0.0,207132
fe_min_to_avg_balance,float64,0,0.0,205659
fe_credit_volatility,float64,0,0.0,685
fe_balance_to_monthly_expenses,float64,0,0.0,207131
fe_min_balance_to_expenses,float64,0,0.0,207132
fe_dscr,float64,0,0.0,5026
fe_expense_to_revenue,float64,0,0.0,207119
fe_free_cash_to_expenses,float64,0,0.0,207109
fe_negative_balance_frequency,float64,0,0.0,24
fe_num_directors,int64,0,0.0,3
fe_business_judgments,int64,0,0.0,7
fe_revenue_per_director,float64,0,0.0,206436
fe_business_credit_facilities,int64,0,0.0,8
fe_director_judgments,int64,0,0.0,7
