column,dtype,unique_values
business_id,str,11500
snapshot_date,str,53
observation_seq,int64,30
province,str,9
industry_sector,str,12
legal_entity_type,str,5
business_age_years,float64,235
num_directors,int64,3
monthly_revenue,float64,205946
monthly_expenses,float64,205522
annual_revenue,float64,182321
total_assets,float64,169271
total_liabilities,float64,169338
total_equity,float64,168833
free_cash_flow,float64,203229
fixed_monthly_debits,float64,202541
total_credits_90d,float64,206737
total_credits_180d,float64,206928
total_credits_365d,float64,207037
avg_daily_credits_90d,float64,177156
avg_weekly_credits_90d,float64,202313
credit_volatility_90d,float64,685
cash_flow_trend_90d,float64,3412
avg_balance_90d,float64,200812
min_balance_90d,float64,198631
negative_balance_days_90d,int64,24
negative_balance_frequency_90d,float64,24
debt_service_coverage_ratio,float64,5026
num_bounced_payments_90d,int64,17
num_reversed_transactions_90d,int64,11
num_debit_orders_90d,int64,23
num_eft_payments_90d,int64,115
num_fees_90d,int64,16
total_fees_90d,float64,58706
bureau_snapshot_date,str,790
credit_score_business,float64,544
credit_utilization_business,float64,1297
existing_debt_exposure,float64,175531
num_credit_facilities,int64,8
arrears_days_bureau,float64,249
judgments_count,int64,7
default_flag_bureau_history,int64,2
director_credit_score,float64,550
director_credit_utilization,float64,1295
director_judgments_count,int64,7
outcome_observable,bool,2
outcome_window_end,str,53
default_event_12m,float64,2
default_type,str,4
default_date,str,1365
model_split,str,4
