,count,mean,std,min,25%,50%,75%,max
observation_seq,207132.0,9.962743564490276,7.147292151759474,0.0,4.0,9.0,15.0,29.0
business_age_years,200755.0,4.787451221638316,3.0633226937533333,0.2,2.5,4.1,6.4,29.0
num_directors,207132.0,1.995123882355213,0.8149036936941525,1.0,1.0,2.0,3.0,3.0
monthly_revenue,207132.0,109472.61778175269,131793.6369892756,4520.87,38289.565,70461.2,131812.3975,3989426.97
monthly_expenses,207132.0,77917.0478624259,93007.90673352205,2932.65,27334.055,50184.365,93795.675,2822062.98
annual_revenue,182392.0,1313000.4799136475,1579869.7299408563,54579.9,458849.0625,845481.135,1583325.3525,46162678.01
total_assets,169712.0,348596.43028501223,445653.7001207358,5000.0,110791.9425,214554.18,416964.755,17497431.58
total_liabilities,169777.0,188379.81914564403,247291.64726323064,444.25,56523.56,112729.14,223938.74,8130620.83
total_equity,169343.0,161483.43397294247,239137.3732935637,-313877.95,42419.265,91019.72,188698.815,9472122.81
free_cash_flow,207132.0,31555.569920726877,43178.254766711834,-28872.36,9357.64,18901.03,37515.229999999996,1594100.08
fixed_monthly_debits,207132.0,27300.03382017264,33894.933515566794,500.0,9109.725,17184.33,32655.7125,1059068.98
total_credits_90d,207132.0,328353.77150797565,396363.5152770673,11964.41,114279.3775,210766.655,395231.875,12236752.46
total_credits_180d,207132.0,656915.7009557191,795159.5365734139,25735.91,228191.35499999998,421071.99,790316.13,26813668.74
total_credits_365d,207132.0,1313352.7939473381,1594424.165277827,47325.95,453723.0375,840769.45,1579976.5150000001,50992782.45
avg_daily_credits_90d,207132.0,3648.375234632987,4404.039070745142,132.94,1269.7675,2341.855,4391.4625,135963.92
avg_weekly_credits_90d,207132.0,25538.626677963806,30828.273412483548,930.57,8888.3975,16392.96,30740.260000000002,951747.41
credit_volatility_90d,207132.0,0.28004706660487033,0.11079595424501583,0.02,0.204,0.28,0.355,0.771
cash_flow_trend_90d,196897.0,6.485573675576572e-05,0.05099981969491638,-0.2222,-0.0343,0.0001,0.0344,0.2447
avg_balance_90d,207132.0,68123.60469203214,103496.06116945551,100.0,16505.745,37454.865000000005,79847.4325,3659380.12
min_balance_90d,207132.0,17030.14217107931,31767.200023115638,-253588.8,2670.37,7862.345,19323.095,1443313.53
negative_balance_days_90d,207132.0,4.001168337099048,2.7996591642833897,0.0,2.0,4.0,6.0,24.0
negative_balance_frequency_90d,207132.0,0.04440007821099588,0.03120630314977499,0.0,0.022,0.044,0.067,0.267
debt_service_coverage_ratio,207132.0,1.2588871540853175,0.7166174697371098,-0.469,0.774,1.127,1.584,10.0
num_bounced_payments_90d,207132.0,2.527089006044455,2.145924965685063,0.0,1.0,2.0,4.0,17.0
num_reversed_transactions_90d,207132.0,1.2072349999034433,1.2435434395107274,0.0,0.0,1.0,2.0,10.0
num_debit_orders_90d,207132.0,13.010457099820405,6.637941445419347,2.0,7.0,13.0,19.0,24.0
num_eft_payments_90d,207132.0,62.00503543634011,33.207005936860234,5.0,33.0,62.0,91.0,119.0
num_fees_90d,207132.0,2.998228182994419,2.0007461876945403,0.0,2.0,3.0,4.0,15.0
total_fees_90d,207132.0,254.7655973485507,184.62128197454945,0.0,112.24,221.535,355.33,1649.28
credit_score_business,190679.0,639.9718322416207,91.2522724490216,300.0,578.0,640.0,703.0,850.0
credit_utilization_business,186382.0,0.5009225515339464,0.24530817012689748,0.0,0.329,0.499,0.668,1.3
existing_debt_exposure,176148.0,150609.93121534164,203425.95879633861,259.29,43608.932499999995,88526.98000000001,178391.02,6264404.57
num_credit_facilities,207132.0,3.4979916188710583,2.292644823820684,0.0,1.0,3.0,6.0,7.0
arrears_days_bureau,194861.0,19.923027183479505,22.847344978320244,0.0,5.0,12.0,27.0,400.0
judgments_count,207132.0,0.35332541567695963,0.6236712442652662,0.0,0.0,0.0,1.0,6.0
default_flag_bureau_history,207132.0,0.059836239692563194,0.23718375936728356,0.0,0.0,0.0,0.0,1.0
director_credit_score,161424.0,630.0929663494895,92.3296321270798,300.0,567.0,630.0,693.0,850.0
director_credit_utilization,155295.0,0.48166013071895425,0.2529018461472515,0.0,0.303,0.477,0.6545000000000001,1.3
director_judgments_count,207132.0,0.25180561188034684,0.5230703334534617,0.0,0.0,0.0,0.0,6.0
default_event_12m,170726.0,0.16828719702915784,0.3741222209143722,0.0,0.0,0.0,0.0,1.0
