feature,feature_type
business_age_years,numeric
num_directors,numeric
monthly_revenue,numeric
monthly_expenses,numeric
annual_revenue,numeric
total_assets,numeric
total_liabilities,numeric
total_equity,numeric
free_cash_flow,numeric
fixed_monthly_debits,numeric
total_credits_90d,numeric
total_credits_180d,numeric
total_credits_365d,numeric
avg_daily_credits_90d,numeric
avg_weekly_credits_90d,numeric
credit_volatility_90d,numeric
cash_flow_trend_90d,numeric
avg_balance_90d,numeric
min_balance_90d,numeric
negative_balance_days_90d,numeric
negative_balance_frequency_90d,numeric
debt_service_coverage_ratio,numeric
num_bounced_payments_90d,numeric
num_reversed_transactions_90d,numeric
num_debit_orders_90d,numeric
num_eft_payments_90d,numeric
num_fees_90d,numeric
total_fees_90d,numeric
credit_score_business,numeric
credit_utilization_business,numeric
existing_debt_exposure,numeric
num_credit_facilities,numeric
arrears_days_bureau,numeric
judgments_count,numeric
default_flag_bureau_history,numeric
director_credit_score,numeric
director_credit_utilization,numeric
director_judgments_count,numeric
fe_credit_volatility,numeric
fe_cash_flow_trend,numeric
fe_min_to_avg_balance,numeric
fe_weekly_credits_to_fixed_debits,numeric
fe_credit_growth_90_vs_180,numeric
fe_credit_growth_180_vs_365,numeric
fe_balance_to_monthly_expenses,numeric
fe_min_balance_to_expenses,numeric
fe_negative_balance_frequency,numeric
fe_negative_balance_days,numeric
fe_free_cash_after_fixed_debits,numeric
fe_free_cash_margin,numeric
fe_fixed_debit_burden,numeric
fe_fixed_debits_to_credits,numeric
fe_dscr,numeric
fe_operating_margin,numeric
fe_expense_to_revenue,numeric
fe_free_cash_to_expenses,numeric
fe_debt_to_assets,numeric
fe_debt_to_equity,numeric
fe_equity_to_assets,numeric
fe_liabilities_to_annual_revenue,numeric
fe_debt_exposure_to_revenue,numeric
fe_bounced_payment_count,numeric
fe_reversed_transaction_count,numeric
fe_debit_order_count,numeric
fe_operational_distress_events,numeric
fe_distress_to_debit_orders,numeric
fe_fees_to_credits,numeric
fe_business_credit_score,numeric
fe_business_credit_utilization,numeric
fe_business_arrears_days,numeric
fe_business_judgments,numeric
fe_business_credit_facilities,numeric
fe_bureau_debt_to_revenue,numeric
fe_director_credit_score,numeric
fe_director_credit_utilization,numeric
fe_director_judgments,numeric
fe_business_vs_director_utilization,numeric
fe_business_age,numeric
fe_num_directors,numeric
fe_revenue_per_director,numeric
fe_unpaid_transaction_count,numeric
fe_bounced_transaction_count,numeric
fe_reversed_transaction_count.1,numeric
fe_paid_transaction_count,numeric
fe_unpaid_transaction_rate,numeric
fe_bounced_transaction_rate,numeric
fe_reversed_transaction_rate,numeric
annual_revenue_missing,numeric
total_assets_missing,numeric
total_liabilities_missing,numeric
total_equity_missing,numeric
existing_debt_exposure_missing,numeric
credit_score_business_missing,numeric
credit_utilization_business_missing,numeric
arrears_days_bureau_missing,numeric
director_credit_score_missing,numeric
director_credit_utilization_missing,numeric
business_age_years_missing,numeric
cash_flow_trend_90d_missing,numeric
fe_equity_to_assets_missing,numeric
fe_debt_to_equity_missing,numeric
fe_debt_to_assets_missing,numeric
fe_business_vs_director_utilization_missing,numeric
fe_liabilities_to_annual_revenue_missing,numeric
fe_bureau_debt_to_revenue_missing,numeric
fe_debt_exposure_to_revenue_missing,numeric
fe_director_credit_utilization_missing,numeric
fe_director_credit_score_missing,numeric
province,categorical
industry_sector,categorical
legal_entity_type,categorical
