business_id,transaction_date,fe_transaction_count,transaction_amount_sum,transaction_amount_squared_sum,transaction_balance_sum,fe_transaction_balance_min,fe_transaction_amount_total,fe_transaction_amount_mean,fe_transaction_amount_std,fe_transaction_balance_mean,fe_unpaid_transaction_count,fe_bounced_transaction_count,fe_reversed_transaction_count,fe_paid_transaction_count,fe_transaction_type_bank fee_count,fe_transaction_type_card purchase_count,fe_transaction_type_cash deposit_count,fe_transaction_type_credit - sales/eft in_count,fe_transaction_type_debit order_count,fe_transaction_type_eft payment_count,fe_transaction_type_interest charge_count,fe_transaction_type_loan repayment_count,fe_unpaid_transaction_rate,fe_bounced_transaction_rate,fe_reversed_transaction_rate
SME105174,2022-01-01,1,3521.87,12403568.296899999,44346.68,44346.68,3521.87,3521.87,,44346.68,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0
SME105174,2022-01-01,2,7933.48,31865871.088999994,84281.75,39935.07,7933.48,3966.74,629.1411874929158,42140.875,0,0,0,2,0,0,0,0,0,0,1,1,0.0,0.0,0.0
SME105174,2022-01-01,3,11848.9,47196384.865399994,120301.4,36019.65,11848.9,3949.633333333333,445.8556168013729,40100.46666666667,0,0,0,3,0,0,0,0,0,0,2,1,0.0,0.0,0.0
SME105174,2022-01-01,4,20113.510000000002,115500163.3175,164585.66,36019.65,20113.510000000002,5028.3775000000005,2187.985541350383,41146.415,0,0,0,4,0,0,1,0,0,0,2,1,0.0,0.0,0.0
SME105174,2022-01-03,5,29183.32,197761616.7536,217939.73,36019.65,29183.32,5836.664,2618.605712450808,43587.946,0,0,0,5,0,0,1,1,0,0,2,1,0.0,0.0,0.0
SME105174,2022-01-03,6,37790.119999999995,271838622.9936,279900.6,36019.65,37790.119999999995,6298.353333333333,2600.8881069562917,46650.1,0,0,0,6,0,0,1,2,0,0,2,1,0.0,0.0,0.0
SME105174,2022-01-05,7,46058.6,340206384.50399995,341861.47000000003,36019.65,46058.6,6579.8,2488.30625874978,48837.35285714286,0,0,1,6,0,0,1,3,0,0,2,1,0.0,0.0,0.14285714285714285
SME105174,2022-01-06,8,50284.78,358066981.8964,399596.16000000003,36019.65,50284.78,6285.5975,2449.405013477763,49949.520000000004,0,0,1,7,0,0,1,3,0,0,2,2,0.0,0.0,0.125
SME105174,2022-01-07,9,57289.69,407135746.0045,464335.76,36019.65,57289.69,6365.521111111111,2303.7202211989857,51592.862222222226,0,0,1,8,0,0,2,3,0,0,2,2,0.0,0.0,0.1111111111111111
SME105174,2022-01-09,10,62379.509999999995,433042013.63689995,523985.54000000004,36019.65,62379.509999999995,6237.950999999999,2209.114625387033,52398.554000000004,0,0,1,9,0,0,2,3,0,1,2,2,0.0,0.0,0.1
