business_id,reason_type,rank,feature,description,point_contribution
APP-00001,adverse,1,credit_volatility_90d,,-8.504614871755338
APP-00001,adverse,2,fe_negative_balance_days,Number of days with negative balances.,-4.8680569924583885
APP-00001,adverse,3,fe_business_credit_score,Business bureau credit score.,-4.641111845928194
APP-00001,adverse,4,fe_balance_to_monthly_expenses,Average 90-day balance divided by monthly expenses.,-3.524007708420735
APP-00001,adverse,5,num_fees_90d,,-2.8408003994980424
APP-00001,protective,1,fe_free_cash_to_expenses,Free cash flow divided by monthly expenses.,5.962874647672288
APP-00001,protective,2,fe_operational_distress_events,Combined bounced payment and reversed transaction count.,5.437679873886328
APP-00001,protective,3,judgments_count,,2.353047774790244
APP-00001,protective,4,free_cash_flow,,1.8601197511827134
APP-00001,protective,5,fe_debt_to_assets,Total liabilities divided by total assets.,0.8494236917233762
APP-00002,adverse,1,fe_negative_balance_days,Number of days with negative balances.,-7.901692957839125
APP-00002,adverse,2,credit_volatility_90d,,-4.959064187808683
APP-00002,adverse,3,fe_business_arrears_days,Business bureau arrears days.,-4.913208981894471
APP-00002,adverse,4,fe_balance_to_monthly_expenses,Average 90-day balance divided by monthly expenses.,-3.524007708420735
APP-00002,adverse,5,fe_liabilities_to_annual_revenue,Total liabilities divided by annual revenue.,-0.31944842822782704
APP-00002,protective,1,fe_free_cash_to_expenses,Free cash flow divided by monthly expenses.,20.461903057643227
APP-00002,protective,2,fe_operational_distress_events,Combined bounced payment and reversed transaction count.,11.709106573753973
APP-00002,protective,3,fe_business_credit_utilization,Business bureau credit utilization.,10.800529950239342
APP-00002,protective,4,fe_debt_to_assets,Total liabilities divided by total assets.,3.7731027473151086
APP-00002,protective,5,director_credit_utilization,,3.6742448595078656
APP-00003,adverse,1,fe_balance_to_monthly_expenses,Average 90-day balance divided by monthly expenses.,-3.524007708420735
APP-00003,adverse,2,fe_business_arrears_days,Business bureau arrears days.,-1.961162279722023
APP-00003,adverse,3,fe_cash_flow_trend,90-day cash-flow trend.,-1.3260283120975773
APP-00003,adverse,4,fe_min_balance_to_expenses,Minimum 90-day balance divided by monthly expenses.,-0.46218785404960144
APP-00003,adverse,5,free_cash_flow,,-0.20461939731471113
APP-00003,protective,1,fe_free_cash_to_expenses,Free cash flow divided by monthly expenses.,13.650972568238105
APP-00003,protective,2,fe_operational_distress_events,Combined bounced payment and reversed transaction count.,11.709106573753973
APP-00003,protective,3,fe_business_credit_utilization,Business bureau credit utilization.,6.759214482367955
APP-00003,protective,4,fe_negative_balance_days,Number of days with negative balances.,4.254378608742005
APP-00003,protective,5,fe_director_credit_score,Director bureau credit score.,3.1307804035859617
APP-00004,adverse,1,credit_volatility_90d,,-8.504614871755338
APP-00004,adverse,2,fe_negative_balance_days,Number of days with negative balances.,-7.901692957839125
APP-00004,adverse,3,fe_business_arrears_days,Business bureau arrears days.,-4.913208981894471
APP-00004,adverse,4,fe_balance_to_monthly_expenses,Average 90-day balance divided by monthly expenses.,-3.524007708420735
APP-00004,adverse,5,fe_business_credit_score,Business bureau credit score.,-2.3295239519651583
APP-00004,protective,1,fe_free_cash_to_expenses,Free cash flow divided by monthly expenses.,5.962874647672288
APP-00004,protective,2,fe_debt_to_assets,Total liabilities divided by total assets.,3.7731027473151086
APP-00004,protective,3,fe_operational_distress_events,Combined bounced payment and reversed transaction count.,2.4804658329330675
APP-00004,protective,4,judgments_count,,2.353047774790244
APP-00004,protective,5,fe_cash_flow_trend,90-day cash-flow trend.,1.5453704172602027
APP-00005,adverse,1,credit_volatility_90d,,-8.504614871755338
APP-00005,adverse,2,fe_negative_balance_days,Number of days with negative balances.,-7.901692957839125
APP-00005,adverse,3,fe_balance_to_monthly_expenses,Average 90-day balance divided by monthly expenses.,-3.524007708420735
APP-00005,adverse,4,fe_business_arrears_days,Business bureau arrears days.,-1.961162279722023
APP-00005,adverse,5,fe_liabilities_to_annual_revenue,Total liabilities divided by annual revenue.,-1.7592117099978195
APP-00005,protective,1,fe_free_cash_to_expenses,Free cash flow divided by monthly expenses.,9.865010580117987
APP-00005,protective,2,fe_operational_distress_events,Combined bounced payment and reversed transaction count.,2.4804658329330675
APP-00005,protective,3,judgments_count,,2.353047774790244
APP-00005,protective,4,num_fees_90d,,2.010929213010523
APP-00005,protective,5,fe_director_credit_score,Director bureau credit score.,1.6183271295413983
APP-00006,adverse,1,fe_negative_balance_days,Number of days with negative balances.,-13.293998017891731
APP-00006,adverse,2,fe_balance_to_monthly_expenses,Average 90-day balance divided by monthly expenses.,-2.623426313246872
APP-00006,adverse,3,fe_min_balance_to_expenses,Minimum 90-day balance divided by monthly expenses.,-0.46218785404960144
APP-00006,adverse,4,fe_cash_flow_trend,90-day cash-flow trend.,-0.4140000361800056
APP-00006,adverse,5,default_flag_bureau_history,,0.0
APP-00006,protective,1,fe_free_cash_to_expenses,Free cash flow divided by monthly expenses.,20.461903057643227
APP-00006,protective,2,fe_operational_distress_events,Combined bounced payment and reversed transaction count.,11.709106573753973
APP-00006,protective,3,fe_business_credit_score,Business bureau credit score.,7.964291288680055
APP-00006,protective,4,fe_business_credit_utilization,Business bureau credit utilization.,6.759214482367955
APP-00006,protective,5,fe_director_credit_score,Director bureau credit score.,4.954496226162749
APP-00007,adverse,1,fe_negative_balance_days,Number of days with negative balances.,-13.293998017891731
APP-00007,adverse,2,fe_business_credit_score,Business bureau credit score.,-8.683101937907402
APP-00007,adverse,3,credit_volatility_90d,,-8.504614871755338
APP-00007,adverse,4,fe_operational_distress_events,Combined bounced payment and reversed transaction count.,-6.384927681010003
