score_bin,training_pct,applicant_pct,bin_psi_contribution
"(-inf, 560.0]",0.10016465883697095,0.2,0.06903633272681353
"(560.0, 579.0]",0.10097115109968581,0.16,0.027173279613424164
"(579.0, 593.0]",0.10078632995614699,0.132,0.008421422946577646
"(593.0, 605.0]",0.09874489641615,0.08,0.003946045989627488
"(605.0, 617.0]",0.1051884335567989,0.072,0.012581311280839854
"(617.0, 629.0]",0.10180284624561049,0.084,0.003422085609427275
"(629.0, 641.0]",0.0943091889712183,0.08,0.0023546055811648737
"(641.0, 656.0]",0.10023186652553052,0.064,0.016253727059800317
"(656.0, 676.0]",0.09798040895878489,0.084,0.002152294462113634
"(676.0, inf]",0.09982021943310315,0.044,0.04572687034323268
