Variable,Missing_Values,Missing_Percentage
InvoiceID,0,0
Date,0,0
ClientID,0,0
ClientName,0,0
Industry,0,0
Region,0,0
ServiceType,0,0
SubscriptionType,0,0
ContractLengthMonths,0,0
AccountManager,0,0
Revenue,0,0
Expenses,0,0
Profit,0,0
ProfitMargin,0,0
BillingCycleMonths,0,0
MRR,0,0
RetentionFlag,0,0
ChurnRiskScore,0,0
ClientTenureMonths,0,0
SatisfactionScore,0,0
UpsellFlag,0,0
PaymentDelayDays,0,0
DiscountRate,0,0
DiscountAmount,0,0
Year,0,0
Month,0,0
Quarter,0,0
Profitability_Score,0,0
Revenue_Score,0,0
Cashflow_Score,0,0
Payment_Score,0,0
Customer_Score,0,0
Operational_Score,0,0
Forecast_Score,0,0
Risk_Score,0,0
FinancialHealthScore,0,0
Rating,0,0
LendingRecommendation,0,0
