Statistic,Value
InvoiceID_Mean,100000.5
InvoiceID_Median,100000.5
InvoiceID_SD,57735.17125634945
InvoiceID_Min,1
InvoiceID_Max,200000
ClientID_Mean,5499.41029
ClientID_Median,5499
ClientID_SD,289.12187347104077
ClientID_Min,5000
ClientID_Max,5999
ContractLengthMonths_Mean,11.22495
ContractLengthMonths_Median,6
ContractLengthMonths_SD,8.042658821515719
ContractLengthMonths_Min,3
ContractLengthMonths_Max,24
Revenue_Mean,7587.5660565
Revenue_Median,7574.135
Revenue_SD,4271.004962155896
Revenue_Min,200.01
Revenue_Max,14999.98
Expenses_Mean,4554.142909584158
Expenses_Median,4374.546686725865
Expenses_SD,2753.9428433806215
Expenses_Min,80.37816313780046
Expenses_Max,11987.230510273846
Profit_Mean,3033.4231469158426
Profit_Median,2764.769428973673
Profit_SD,1981.1343246708122
Profit_Min,41.3952285554422
Profit_Max,8992.437385093755
ProfitMargin_Mean,0.3996400083283031
ProfitMargin_Median,0.3991596935525259
ProfitMargin_SD,0.11531002497796346
ProfitMargin_Min,0.20000065335853584
ProfitMargin_Max,0.5999996247838763
BillingCycleMonths_Mean,5.332195
BillingCycleMonths_Median,3
BillingCycleMonths_SD,4.7814334453701175
BillingCycleMonths_Min,1
BillingCycleMonths_Max,12
MRR_Mean,3573.1238054291666
MRR_Median,1936.7816666666668
MRR_SD,3918.282902005633
MRR_Min,16.6825
MRR_Max,14999.97
RetentionFlag_Mean,0.74872
RetentionFlag_Median,1
RetentionFlag_SD,0.43375027642240355
RetentionFlag_Min,0
RetentionFlag_Max,1
ChurnRiskScore_Mean,0.4996897
ChurnRiskScore_Median,0.5
ChurnRiskScore_SD,0.28833194132883017
ChurnRiskScore_Min,0
ChurnRiskScore_Max,1
ClientTenureMonths_Mean,35.85793
ClientTenureMonths_Median,36
ClientTenureMonths_SD,20.498499629424963
ClientTenureMonths_Min,1
ClientTenureMonths_Max,71
SatisfactionScore_Mean,3.000267
SatisfactionScore_Median,3
SatisfactionScore_SD,1.156678744613037
SatisfactionScore_Min,1
SatisfactionScore_Max,5
UpsellFlag_Mean,0.50269
UpsellFlag_Median,1
UpsellFlag_SD,0.49999401383423525
UpsellFlag_Min,0
UpsellFlag_Max,1
PaymentDelayDays_Mean,29.50227
PaymentDelayDays_Median,29
PaymentDelayDays_SD,17.326921421825915
PaymentDelayDays_Min,0
PaymentDelayDays_Max,59
DiscountRate_Mean,0.1001668
DiscountRate_Median,0.1
DiscountRate_SD,0.057943912236272294
DiscountRate_Min,0
DiscountRate_Max,0.2
DiscountAmount_Mean,759.8631631185
DiscountAmount_Median,570.8332
DiscountAmount_SD,661.9571692339329
DiscountAmount_Min,0
DiscountAmount_Max,2999.1180000000004
Year_Mean,2023.499285
Year_Median,2023
Year_SD,1.1182735539454132
Year_Min,2022
Year_Max,2025
Month_Mean,6.51812
Month_Median,7
Month_SD,3.447357116249408
Month_Min,1
Month_Max,12
Quarter_Mean,2.50716
Quarter_Median,3
Quarter_SD,1.11669376707531
Quarter_Min,1
Quarter_Max,4
Profitability_Score_Mean,49.909967082760325
Profitability_Score_Median,49.78988808004046
Profitability_Score_SD,28.827580372787537
Profitability_Score_Min,0
Profitability_Score_Max,100
Revenue_Score_Mean,49.91602048179828
Revenue_Score_Median,49.82526991608767
Revenue_Score_SD,28.858200132540105
Revenue_Score_Min,0
Revenue_Score_Max,100
Cashflow_Score_Mean,23.736054623721042
Cashflow_Score_Median,12.814939089079529
Cashflow_Score_SD,26.15102261106338
Cashflow_Score_Min,0
Cashflow_Score_Max,100
Payment_Score_Mean,49.99615254237288
Payment_Score_Median,50.847457627118644
Payment_Score_SD,29.367663426823587
Payment_Score_Min,0
Payment_Score_Max,100
Customer_Score_Mean,62.451515
Customer_Score_Median,66.5
Customer_Score_SD,26.011302920925996
Customer_Score_Min,0
Customer_Score_Max,100
Operational_Score_Mean,50.006675
Operational_Score_Median,50
Operational_Score_SD,28.91696861532592
Operational_Score_Min,0
Operational_Score_Max,100
Forecast_Score_Mean,49.797042857142856
Forecast_Score_Median,50
Forecast_Score_SD,29.283570899178518
Forecast_Score_Min,0
Forecast_Score_Max,100
Risk_Score_Mean,50.03103
Risk_Score_Median,50
Risk_Score_SD,28.833194132883015
Risk_Score_Min,0
Risk_Score_Max,100
FinancialHealthScore_Mean,45.94329745351759
FinancialHealthScore_Median,45.4358369584435
FinancialHealthScore_SD,11.879933393922148
FinancialHealthScore_Min,4.557200968911536
FinancialHealthScore_Max,93.3229119357401
