source_record_id,business_id,bill_id,supplier_id,bill_date,due_date,bill_amount,amount_paid,bill_status,payment_date,currency,source_file
BILL_000001,SME_001,SME_001-BILL-00001,SUPP_SME_001_006,07 May 2024,22/05/2024,18247.26,0.0,Overdue,,ZAR,sme_001_accounting_export.csv
BILL_000002,SME_001,SME_001-BILL-00002,SUPP_SME_001_010,26/05/2025,2025-07-25,4958.61,4958.61,Paid,19/07/2025,ZAR,sme_001_accounting_export.csv
BILL_000003,SME_001,SME_001-BILL-00003,SUPP_SME_001_002,01/08/2025,30/09/2025,12488.86,4288.61,Partially Paid,10/08/2025,ZAR,sme_001_accounting_export.csv
BILL_000004,SME_001,SME_001-BILL-00004,SUPP_SME_001_008,2024-12-05,2024-12-20,3301.29,0.0,Overdue,,ZAR,sme_001_accounting_export.csv
BILL_000005,SME_001,SME_001-BILL-00005,SUPP_SME_001_006,2024-06-05,05/07/2024,19927.36,19927.36,Paid,22/06/2024,ZAR,sme_001_accounting_export.csv
BILL_000006,SME_001,SME_001-BILL-00006,SUPP_SME_001_004,31 May 2025,2025-06-30,12218.99,12218.99,Paid,2025-07-13,ZAR,sme_001_accounting_export.csv
BILL_000007,SME_001,SME_001-BILL-00007,SUPP_SME_001_009,24/09/2025,08 Nov 2025,23817.19,23817.19,Paid,05 Nov 2025,ZAR,sme_001_accounting_export.csv
BILL_000008,SME_001,SME_001-BILL-00008,SUPP_SME_001_008,2025-07-22,20 Sep 2025,18529.62,8567.03,Partially Paid,29 Sep 2025,ZAR,sme_001_accounting_export.csv
BILL_000009,SME_001,SME_001-BILL-00009,SUPP_SME_001_001,2024-07-13,12 Aug 2024,10132.2,10132.2,Paid,04/08/2024,ZAR,sme_001_accounting_export.csv
BILL_000010,SME_001,SME_001-BILL-00010,SUPP_SME_001_004,31 Jan 2024,01 Mar 2024,4566.14,4566.14,Paid,26 Feb 2024,ZAR,sme_001_accounting_export.csv
BILL_000011,SME_001,SME_001-BILL-00011,SUPP_SME_001_008,2024-11-11,10 Jan 2025,30256.01,30256.01,Paid,18 Dec 2024,ZAR,sme_001_accounting_export.csv
BILL_000012,SME_001,SME_001-BILL-00012,SUPP_SME_001_004,26 Aug 2024,2024-10-10,25508.74,12162.68,Partially Paid,13 Oct 2024,ZAR,sme_001_accounting_export.csv
