issue_id,dataset,source_record_id,business_id,issue_type,description
ISSUE_000001,business_profiles_raw.csv,BP_0002,SME_002,missing_value,employee_count missing
ISSUE_000002,business_profiles_raw.csv,BP_0004,SME_004,type_inconsistency,"annual_revenue stored as formatted text, not numeric"
ISSUE_000003,business_profiles_raw.csv,BP_0001,SME_001,missing_value,financial_year_end missing
ISSUE_000004,business_profiles_raw.csv,BP_0006,SME_001,conflicting_record,Duplicate profile version with stale employee_count and annual_revenue
ISSUE_000005,bank_transactions_raw.csv,BT_0000004,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000006,bank_transactions_raw.csv,BT_0000099,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000007,bank_transactions_raw.csv,BT_0000117,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000008,bank_transactions_raw.csv,BT_0000182,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000009,bank_transactions_raw.csv,BT_0000209,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000010,bank_transactions_raw.csv,BT_0000211,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000011,bank_transactions_raw.csv,BT_0000230,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000012,bank_transactions_raw.csv,BT_0000254,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000013,bank_transactions_raw.csv,BT_0000315,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000014,bank_transactions_raw.csv,BT_0000339,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000015,bank_transactions_raw.csv,BT_0000513,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000016,bank_transactions_raw.csv,BT_0000701,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000017,bank_transactions_raw.csv,BT_0000714,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000018,bank_transactions_raw.csv,BT_0000750,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000019,bank_transactions_raw.csv,BT_0000762,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000020,bank_transactions_raw.csv,BT_0000763,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000021,bank_transactions_raw.csv,BT_0000831,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000022,bank_transactions_raw.csv,BT_0000897,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000023,bank_transactions_raw.csv,BT_0000904,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000024,bank_transactions_raw.csv,BT_0000905,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000025,bank_transactions_raw.csv,BT_0000952,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000026,bank_transactions_raw.csv,BT_0000983,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000027,bank_transactions_raw.csv,BT_0001048,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000028,bank_transactions_raw.csv,BT_0001218,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000029,bank_transactions_raw.csv,BT_0001339,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000030,bank_transactions_raw.csv,BT_0001464,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000031,bank_transactions_raw.csv,BT_0001521,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000032,bank_transactions_raw.csv,BT_0001567,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000033,bank_transactions_raw.csv,BT_0001669,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000034,bank_transactions_raw.csv,BT_0001671,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000035,bank_transactions_raw.csv,BT_0001707,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000036,bank_transactions_raw.csv,BT_0001716,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000037,bank_transactions_raw.csv,BT_0001819,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000038,bank_transactions_raw.csv,BT_0001839,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000039,bank_transactions_raw.csv,BT_0001888,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000040,bank_transactions_raw.csv,BT_0001922,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000041,bank_transactions_raw.csv,BT_0001941,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000042,bank_transactions_raw.csv,BT_0001961,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000043,bank_transactions_raw.csv,BT_0001992,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000044,bank_transactions_raw.csv,BT_0002027,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000045,bank_transactions_raw.csv,BT_0002052,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000046,bank_transactions_raw.csv,BT_0002078,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000047,bank_transactions_raw.csv,BT_0002081,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000048,bank_transactions_raw.csv,BT_0002093,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000049,bank_transactions_raw.csv,BT_0002104,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000050,bank_transactions_raw.csv,BT_0002109,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000051,bank_transactions_raw.csv,BT_0002118,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000052,bank_transactions_raw.csv,BT_0002263,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000053,bank_transactions_raw.csv,BT_0002341,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000054,bank_transactions_raw.csv,BT_0002366,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000055,bank_transactions_raw.csv,BT_0002388,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000056,bank_transactions_raw.csv,BT_0002427,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000057,bank_transactions_raw.csv,BT_0002464,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
ISSUE_000058,bank_transactions_raw.csv,BT_0002484,SME_001,delayed_posting,Posting delayed 12 days after transaction_date
