source_record_id,business_id,invoice_id,customer_id,invoice_date,due_date,invoice_amount,amount_paid,invoice_status,payment_date,currency,source_file
INV_000001,SME_001,SME_001-INV-00001,CUST_SME_001_010,2024-07-06,05/08/2024,43877.02,43877.02,paid,04 Aug 2024,ZAR,sme_001_accounting_export.csv
INV_000002,SME_001,SME_001-INV-00002,CUST_SME_001_007,2025-09-10,25/09/2025,44433.77,44433.77,PAID,11/10/2025,ZAR,sme_001_accounting_export.csv
INV_000003,SME_001,SME_001-INV-00003,CUST_SME_001_010,16 Apr 2025,01/05/2025,56179.83,56179.83,PAID,26/05/2025,ZAR,sme_001_accounting_export.csv
INV_000004,SME_001,SME_001-INV-00004,CUST_SME_001_007,17/08/2024,01/09/2024,15420.22,15420.22,PAID,20/09/2024,ZAR,sme_001_accounting_export.csv
INV_000005,SME_001,SME_001-INV-00005,CUST_SME_001_001,2024-07-04,19/07/2024,47326.73,47326.73,paid,2024-07-09,ZAR,sme_001_accounting_export.csv
INV_000006,SME_001,SME_001-INV-00006,CUST_SME_001_006,18 Mar 2025,02 May 2025,59478.31,59478.31,Paid,23 Mar 2025,ZAR,sme_001_accounting_export.csv
INV_000007,SME_001,SME_001-INV-00007,CUST_SME_001_010,25/03/2025,24 Apr 2025,2712.29,0.0,Overdue,,ZAR,sme_001_accounting_export.csv
INV_000008,SME_001,SME_001-INV-00008,CUST_SME_001_010,2025-01-07,21/02/2025,23065.14,0.0,Overdue,,ZAR,sme_001_accounting_export.csv
INV_000009,SME_001,SME_001-INV-00009,CUST_SME_001_005,23 Apr 2025,08/05/2025,26726.12,26726.12,PAID,12 May 2025,ZAR,sme_001_accounting_export.csv
INV_000010,SME_001,SME_001-INV-00010,CUST_SME_001_014,26/05/2025,,49488.11,49488.11,Paid,09 Jul 2025,ZAR,sme_001_accounting_export.csv
INV_000011,SME_001,SME_001-INV-00011,CUST_SME_001_014,10 Mar 2025,24/04/2025,1810.86,1810.86,PAID,2025-05-15,ZAR,sme_001_accounting_export.csv
INV_000012,SME_001,SME_001-INV-00012,CUST_SME_001_006,05 Feb 2024,21/03/2024,36318.55,17598.87,Partially Paid,10 Apr 2024,ZAR,sme_001_accounting_export.csv
INV_000013,SME_001,SME_001-INV-00013,CUST_SME_001_014,27/10/2024,26/11/2024,53662.15,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
INV_000014,SME_001,SME_001-INV-00014,CUST_SME_001_007,22/02/2024,23/03/2024,9710.0,9710.0,Paid,22 Mar 2024,ZAR,sme_001_accounting_export.csv
INV_000015,SME_001,SME_001-INV-00015,CUST_SME_001_012,07/02/2025,24/03/2025,7818.84,3995.0,Partially Paid,25 Mar 2025,ZAR,sme_001_accounting_export.csv
INV_000016,SME_001,SME_001-INV-00016,CUST_SME_001_006,10/10/2025,24 Nov 2025,59987.4,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
INV_000017,SME_001,SME_001-INV-00017,CUST_SME_001_014,01/09/2024,16 Oct 2024,49731.58,0.0,Overdue,,ZAR,sme_001_accounting_export.csv
INV_000018,SME_001,SME_001-INV-00018,CUST_SME_001_008,15/10/2025,14 Nov 2025,42147.69,42147.69,paid,2025-10-28,ZAR,sme_001_accounting_export.csv
INV_000019,SME_001,SME_001-INV-00019,CUST_SME_001_007,26/07/2025,09 Sep 2025,24539.89,15922.03,Partially Paid,08 Sep 2025,ZAR,sme_001_accounting_export.csv
INV_000020,SME_001,SME_001-INV-00020,CUST_SME_001_008,21/09/2024,2024-11-05,51383.82,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
INV_000021,SME_001,SME_001-INV-00021,CUST_SME_001_004,08 May 2025,23/05/2025,55443.61,55443.61,PAID,19 May 2025,ZAR,sme_001_accounting_export.csv
INV_000022,SME_001,SME_001-INV-00022,CUST_SME_001_010,12/07/2024,11 Aug 2024,44212.1,12048.65,Partially Paid,12 Aug 2024,ZAR,sme_001_accounting_export.csv
INV_000023,SME_001,SME_001-INV-00023,CUST_SME_001_008,2024-02-13,29/03/2024,24487.59,5326.18,Partially Paid,2024-03-03,ZAR,sme_001_accounting_export.csv
INV_000024,SME_001,SME_001-INV-00024,CUST_SME_001_013,26 Dec 2024,2025-01-10,35428.69,15297.91,Partially Paid,05/01/2025,ZAR,sme_001_accounting_export.csv
INV_000025,SME_001,SME_001-INV-00025,CUST_SME_001_006,15 Apr 2024,30 Apr 2024,6812.52,4957.47,Partially Paid,03/05/2024,ZAR,sme_001_accounting_export.csv
INV_000026,SME_001,SME_001-INV-00026,CUST_SME_001_008,08/10/2025,07/12/2025,10323.21,10323.21,paid,25 Nov 2025,ZAR,sme_001_accounting_export.csv
INV_000027,SME_001,SME_001-INV-00027,CUST_SME_001_015,07/02/2025,08 Apr 2025,47199.2,16452.89,Partially Paid,01 Mar 2025,ZAR,sme_001_accounting_export.csv
INV_000028,SME_001,SME_001-INV-00028,CUST_SME_001_013,2025-04-30,14 Jun 2025,2729.61,2729.61,PAID,16/05/2025,ZAR,sme_001_accounting_export.csv
INV_000029,SME_001,SME_001-INV-00029,CUST_SME_001_003,12 Mar 2024,2024-03-27,3902.56,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
INV_000030,SME_001,SME_001-INV-00030,CUST_SME_001_007,09/05/2025,24/05/2025,30973.39,17276.79,Partially Paid,17 May 2025,ZAR,sme_001_accounting_export.csv
INV_000031,SME_001,SME_001-INV-00031,CUST_SME_001_009,2025-04-17,2025-06-16,11061.23,11061.23,paid,10/05/2025,ZAR,sme_001_accounting_export.csv
INV_000032,SME_001,SME_001-INV-00032,CUST_SME_001_014,30 Mar 2024,14 May 2024,18328.54,18328.54,paid,24/05/2024,ZAR,sme_001_accounting_export.csv
INV_000033,SME_001,SME_001-INV-00033,CUST_SME_001_013,24/06/2025,24 Jul 2025,24531.05,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
INV_000034,SME_001,SME_001-INV-00034,CUST_SME_001_008,2025-12-03,02 Jan 2026,31813.07,31813.07,Paid,18/01/2026,ZAR,sme_001_accounting_export.csv
INV_000035,SME_001,SME_001-INV-00035,CUST_SME_001_011,08 Dec 2024,2025-02-06,17728.55,4188.86,Partially Paid,2024-12-23,ZAR,sme_001_accounting_export.csv
INV_000036,SME_001,SME_001-INV-00036,CUST_SME_001_015,2025-09-06,06 Oct 2025,29529.24,29529.24,PAID,2025-09-29,ZAR,sme_001_accounting_export.csv
INV_000037,SME_001,SME_001-INV-00037,CUST_SME_001_010,10 May 2024,09/06/2024,22870.39,22870.39,paid,31 May 2024,ZAR,sme_001_accounting_export.csv
INV_000038,SME_001,SME_001-INV-00038,CUST_SME_001_008,14/04/2024,14/05/2024,5780.84,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
INV_000039,SME_001,SME_001-INV-00039,CUST_SME_001_008,10 Jan 2024,2024-02-24,52160.52,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
INV_000040,SME_001,SME_001-INV-00040,CUST_SME_001_014,05/10/2025,04/12/2025,17600.59,7357.38,Partially Paid,2025-10-13,ZAR,sme_001_accounting_export.csv
INV_000041,SME_002,SME_002-INV-00041,CUST_SME_002_008,10 Apr 2025,10 May 2025,36953.02,22483.63,Partially Paid,2025-05-04,ZAR,sme_002_accounting_export.csv
INV_000042,SME_002,SME_002-INV-00042,CUST_SME_002_004,11/01/2024,10/02/2024,34618.21,34618.21,paid,07 Feb 2024,ZAR,sme_002_accounting_export.csv
INV_000043,SME_002,SME_002-INV-00043,CUST_SME_002_010,2024-10-18,02 Nov 2024,12750.84,0.0,Overdue,,ZAR,sme_002_accounting_export.csv
INV_000044,SME_002,SME_002-INV-00044,CUST_SME_002_014,29 Feb 2024,15 Mar 2024,2767.53,2767.53,paid,02/04/2024,ZAR,sme_002_accounting_export.csv
INV_000045,SME_002,SME_002-INV-00045,CUST_SME_002_012,19 Sep 2024,19 Oct 2024,51558.95,12870.36,Partially Paid,25 Oct 2024,ZAR,sme_002_accounting_export.csv
INV_000046,SME_002,SME_002-INV-00046,CUST_SME_002_009,30 Sep 2024,14/11/2024,30363.7,0.0,Unpaid,,ZAR,sme_002_accounting_export.csv
INV_000047,SME_002,SME_002-INV-00047,CUST_SME_002_011,2025-08-24,23/09/2025,25453.58,25453.58,Paid,23/10/2025,ZAR,sme_002_accounting_export.csv
INV_000048,SME_002,SME_002-INV-00048,CUST_SME_002_002,06 Jan 2024,2024-02-20,46011.72,46011.72,PAID,10 Jan 2024,ZAR,sme_002_accounting_export.csv
INV_000049,SME_002,SME_002-INV-00049,CUST_SME_002_010,08/02/2024,2024-03-09,2956.38,2956.38,PAID,2024-03-19,ZAR,sme_002_accounting_export.csv
INV_000050,SME_002,SME_002-INV-00050,CUST_SME_002_014,06/09/2025,2025-10-06,46147.7,0.0,Overdue,,ZAR,sme_002_accounting_export.csv
