source_record_id,business_id,bank_name,account_id,transaction_date,posting_date,transaction_description,transaction_reference,debit_amount,credit_amount,balance_after_transaction,currency,source_file,transaction_date_std,posting_date_std,missing_transaction_reference,missing_balance_after_transaction,net_amount,posting_delay_days,delayed_posting_flag,description_normalized,possible_sign_inconsistency,is_reversal,is_duplicate,duplicate_group_size
BT_0000001,SME_001,Standard Bank,ACC-95822412,2024-01-01,01 Jan 2024,POS SETTLEMENT - DAILY SALES,REF219540831,,513.37,95155.52,ZAR,standard_bank_statement_export.csv,2024-01-01,2024-01-01,False,False,513.37,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000002,SME_001,Standard Bank,ACC-95822412,01/01/2024,02 Jan 2024,POS SETTLEMENT - DAILY SALES,REF126855092,,835.3,95990.82,ZAR,standard_bank_statement_export.csv,2024-01-01,2024-01-02,False,False,835.3,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000003,SME_001,Standard Bank,ACC-95822412,2024-01-01,01/01/2024,POS SETTLEMENT - DAILY SALES,REF896233790,,255.9,,ZAR,standard_bank_statement_export.csv,2024-01-01,2024-01-01,False,True,255.9,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000004,SME_001,Standard Bank,ACC-95822412,2024-01-01,13 Jan 2024,POS SETTLEMENT - DAILY SALES,,,269.11,,ZAR,standard_bank_statement_export.csv,2024-01-01,2024-01-13,True,True,269.11,12,True,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000005,SME_001,Standard Bank,ACC-95822412,01 Jan 2024,01 Jan 2024,POS SETTLEMENT - DAILY SALES,REF362950628,,14.36,96530.19,ZAR,standard_bank_statement_export.csv,2024-01-01,2024-01-01,False,False,14.36,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000006,SME_001,Standard Bank,ACC-95822412,01 Jan 2024,01/01/2024,POS SETTLEMENT - DAILY SALES,REF339670711,,804.82,97335.01,ZAR,standard_bank_statement_export.csv,2024-01-01,2024-01-01,False,False,804.82,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000007,SME_001,Standard Bank,ACC-95822412,02 Jan 2024,04 Jan 2024,POS SETTLEMENT - DAILY SALES,REF249827706,,1908.91,99243.92,ZAR,standard_bank_statement_export.csv,2024-01-02,2024-01-04,False,False,1908.91,2,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000008,SME_001,Standard Bank,ACC-95822412,2024-01-02,02/01/2024,POS SETTLEMENT - DAILY SALES,REF890779946,,557.3,99801.22,ZAR,standard_bank_statement_export.csv,2024-01-02,2024-01-02,False,False,557.3,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000009,SME_001,Standard Bank,ACC-95822412,02 Jan 2024,2024-01-03,POS SETTLEMENT - DAILY SALES,REF210053353,,251.41,100052.63,ZAR,standard_bank_statement_export.csv,2024-01-02,2024-01-03,False,False,251.41,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000010,SME_001,Standard Bank,ACC-95822412,02 Jan 2024,02 Jan 2024,POS SETTLEMENT - DAILY SALES,REF826600539,,803.35,100855.98,ZAR,standard_bank_statement_export.csv,2024-01-02,2024-01-02,False,False,803.35,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000011,SME_001,Standard Bank,ACC-95822412,02/01/2024,2024-01-03,POS SETTLEMENT - DAILY SALES,REF895285932,,166.28,101022.26,ZAR,standard_bank_statement_export.csv,2024-01-02,2024-01-03,False,False,166.28,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000012,SME_001,Standard Bank,ACC-95822412,03/01/2024,03 Jan 2024,POS SETTLEMENT - DAILY SALES,REF685582861,,366.61,101388.87,ZAR,standard_bank_statement_export.csv,2024-01-03,2024-01-03,False,False,366.61,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000013,SME_001,Standard Bank,ACC-95822412,2024-01-03,04 Jan 2024,POS SETTLEMENT - DAILY SALES,REF193349856,,118.2,101507.07,ZAR,standard_bank_statement_export.csv,2024-01-03,2024-01-04,False,False,118.2,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000014,SME_001,Standard Bank,ACC-95822412,2024-01-03,06/01/2024,POS SETTLEMENT - DAILY SALES,REF734036506,,483.49,101990.56,ZAR,standard_bank_statement_export.csv,2024-01-03,2024-01-06,False,False,483.49,3,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000015,SME_001,Standard Bank,ACC-95822412,03/01/2024,08/01/2024,POS SETTLEMENT - DAILY SALES,REF553035110,,703.34,102693.9,ZAR,standard_bank_statement_export.csv,2024-01-03,2024-01-08,False,False,703.34,5,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000016,SME_001,Standard Bank,ACC-95822412,2024-01-04,06 Jan 2024,POS SETTLEMENT - DAILY SALES,REF134126396,,474.46,103168.36,ZAR,standard_bank_statement_export.csv,2024-01-04,2024-01-06,False,False,474.46,2,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000017,SME_001,Standard Bank,ACC-95822412,2024-01-04,06 Jan 2024,POS SETTLEMENT - DAILY SALES,REF131994523,,284.98,103453.34,ZAR,standard_bank_statement_export.csv,2024-01-04,2024-01-06,False,False,284.98,2,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000018,SME_001,Standard Bank,ACC-95822412,04/01/2024,05 Jan 2024,POS SETTLEMENT - DAILY SALES,REF200604502,,859.45,104312.79,ZAR,standard_bank_statement_export.csv,2024-01-04,2024-01-05,False,False,859.45,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000019,SME_001,Standard Bank,ACC-95822412,05/01/2024,2024-01-05,POS SETTLEMENT - DAILY SALES,REF334760738,,845.86,105158.65,ZAR,standard_bank_statement_export.csv,2024-01-05,2024-01-05,False,False,845.86,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000020,SME_001,Standard Bank,ACC-95822412,2024-01-05,06/01/2024,POS SETTLEMENT - DAILY SALES,REF349817734,,795.3,105953.95,ZAR,standard_bank_statement_export.csv,2024-01-05,2024-01-06,False,False,795.3,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000021,SME_001,Standard Bank,ACC-95822412,2024-01-05,05/01/2024,POS SETTLEMENT - DAILY SALES,REF642621108,,200.26,106154.21,ZAR,standard_bank_statement_export.csv,2024-01-05,2024-01-05,False,False,200.26,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000022,SME_001,Standard Bank,ACC-95822412,05 Jan 2024,2024-01-05,POS SETTLEMENT - DAILY SALES,REF746412689,,324.62,106478.83,ZAR,standard_bank_statement_export.csv,2024-01-05,2024-01-05,False,False,324.62,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000023,SME_001,Standard Bank,ACC-95822412,2024-01-05,07 Jan 2024,POS SETTLEMENT - DAILY SALES,REF128492780,,280.36,106759.19,ZAR,standard_bank_statement_export.csv,2024-01-05,2024-01-07,False,False,280.36,2,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000024,SME_001,Standard Bank,ACC-95822412,05 Jan 2024,06/01/2024,ABC SUPPLIERS PAYMENT,REF702632297,13528.12,,93231.07,ZAR,standard_bank_statement_export.csv,2024-01-05,2024-01-06,False,False,-13528.12,1,False,ABC SUPPLIERS PAYMENT,False,False,False,1
BT_0000025,SME_001,Standard Bank,ACC-95822412,06/01/2024,06/01/2024,POS SETTLEMENT - DAILY SALES,REF313500298,,359.57,93590.64,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-06,False,False,359.57,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000026,SME_001,Standard Bank,ACC-95822412,06/01/2024,08/01/2024,POS SETTLEMENT - DAILY SALES,REF868820204,,445.4,94036.04,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-08,False,False,445.4,2,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000027,SME_001,Standard Bank,ACC-95822412,06/01/2024,2024-01-11,POS SETTLEMENT - DAILY SALES,REF797808098,,327.42,94363.46,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-11,False,False,327.42,5,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000028,SME_001,Standard Bank,ACC-95822412,06/01/2024,07/01/2024,POS SETTLEMENT - DAILY SALES,REF853041955,,349.71,94713.17,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-07,False,False,349.71,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000029,SME_001,Standard Bank,ACC-95822412,2024-01-06,07 Jan 2024,POS SETTLEMENT - DAILY SALES,REF685126461,,542.88,,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-07,False,True,542.88,1,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000030,SME_001,Standard Bank,ACC-95822412,2024-01-06,2024-01-06,POS SETTLEMENT - DAILY SALES,REF550455977,,206.41,95462.46,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-06,False,False,206.41,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000031,SME_001,Standard Bank,ACC-95822412,06 Jan 2024,11 Jan 2024,POS SETTLEMENT - DAILY SALES,REF336696312,,274.8,95737.26,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-11,False,False,274.8,5,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000032,SME_001,Standard Bank,ACC-95822412,06/01/2024,06 Jan 2024,POS SETTLEMENT - DAILY SALES,REF582334538,,787.44,96524.7,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-06,False,False,787.44,0,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000033,SME_001,Standard Bank,ACC-95822412,2024-01-06,09 Jan 2024,POS SETTLEMENT - DAILY SALES,REF732719211,,532.03,97056.73,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-09,False,False,532.03,3,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000034,SME_001,Standard Bank,ACC-95822412,06 Jan 2024,2024-01-09,POS SETTLEMENT - DAILY SALES,REF398704996,,448.79,97505.52,ZAR,standard_bank_statement_export.csv,2024-01-06,2024-01-09,False,False,448.79,3,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000035,SME_001,Standard Bank,ACC-95822412,07 Jan 2024,09/01/2024,POS SETTLEMENT - DAILY SALES,REF969119330,,814.0,98319.52,ZAR,standard_bank_statement_export.csv,2024-01-07,2024-01-09,False,False,814.0,2,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
BT_0000036,SME_001,Standard Bank,ACC-95822412,07 Jan 2024,2024-01-09,POS SETTLEMENT - DAILY SALES,REF106977991,,12.95,98332.47,ZAR,standard_bank_statement_export.csv,2024-01-07,2024-01-09,False,False,12.95,2,False,POS SETTLEMENT   DAILY SALES,False,False,False,1
