dataset,issue_type,total_injected,detected,detection_rate
business_profiles_raw.csv,missing_value,2,2,1.0
business_profiles_raw.csv,type_inconsistency,1,1,1.0
business_profiles_raw.csv,conflicting_record,1,1,1.0
bank_transactions_raw.csv,delayed_posting,376,376,1.0
bank_transactions_raw.csv,duplicate,292,292,1.0
bank_transactions_raw.csv,missing_reference,780,780,1.0
bank_transactions_raw.csv,missing_value,585,585,1.0
bank_transactions_raw.csv,reversal,2,2,1.0
bank_transactions_raw.csv,sign_inconsistency,1,1,1.0
invoices_raw.csv,duplicate,5,5,1.0
invoices_raw.csv,missing_value,20,20,1.0
supplier_bills_raw.csv,duplicate,4,4,1.0
supplier_bills_raw.csv,missing_value,15,15,1.0
